"{""png_width"":92344, ""png_height"":72764, ""png_w"":450, ""png_h"":360, ""patch_w"":202.593192869, ""patch_h"":202.593192869}"
i,j,TIL,cancer,tissue
1,294,6,0,0
3,246,2,0,0
3,247,4,0,0
4,12,1,0,0
4,13,6,0,0
5,11,1,0,0
5,12,6,0,0
11,7,5,0,0
11,119,4,0,0
11,120,3,0,0
11,145,6,0,0
12,239,1,0,0
12,240,6,0,0
13,343,4,0,0
13,344,3,0,0
17,16,1,0,0
17,17,5,0,0
17,331,3,0,0
17,332,4,0,0
18,99,2,0,0
18,100,4,0,0
18,224,0,0,240
18,225,0,0,242
18,226,0,0,242
18,227,7,0,242
18,228,11,0,242
18,229,8,0,242
18,230,7,0,224
18,231,7,0,0
18,232,5,0,0
18,280,5,0,0
18,281,2,0,0
18,283,6,0,0
18,284,6,0,0
18,285,1,0,0
18,286,5,0,0
18,287,7,0,0
18,288,7,0,0
18,289,7,0,0
18,290,7,0,0
18,291,7,0,0
18,292,1,0,0
19,120,0,0,146
19,121,0,0,241
19,122,0,0,241
19,123,0,0,241
19,124,0,0,241
19,125,0,0,241
19,126,0,0,241
19,127,0,0,241
19,128,0,0,241
19,129,0,0,241
19,130,0,0,241
19,131,0,0,241
19,132,0,0,56
19,220,0,0,227
19,221,0,0,241
19,222,5,0,241
19,223,8,0,241
19,224,5,0,255
19,225,10,0,255
19,226,10,0,255
19,227,13,0,255
19,228,12,0,255
19,229,6,0,255
19,230,1,0,254
19,231,8,0,220
19,232,7,0,0
19,233,7,0,0
19,234,7,0,0
19,235,6,0,0
19,236,1,0,0
19,237,7,0,0
19,238,5,0,0
19,255,0,0,98
19,256,3,0,241
19,257,7,0,241
19,258,4,0,133
19,278,4,0,0
19,279,10,0,0
19,280,9,0,0
19,281,2,0,0
19,282,6,0,0
19,283,7,0,0
19,284,2,0,0
19,285,6,0,0
19,286,8,0,0
19,287,2,0,201
19,288,6,0,241
19,289,8,0,241
19,290,6,0,241
19,291,8,0,241
19,292,1,0,24
19,293,7,0,0
19,294,6,0,0
20,117,0,4,0
20,118,0,16,139
20,119,0,9,240
20,120,0,5,249
20,121,0,29,255
20,122,4,32,255
20,123,9,40,255
20,124,9,36,255
20,125,7,28,255
20,126,7,24,255
20,127,8,22,255
20,128,8,29,255
20,129,7,27,255
20,130,2,11,255
20,131,0,7,255
20,132,0,3,244
20,133,0,4,240
20,134,0,5,240
20,135,0,44,240
20,136,0,36,240
20,137,0,11,240
20,138,0,10,240
20,139,0,9,240
20,140,0,4,240
20,141,0,3,240
20,142,0,7,240
20,143,0,12,240
20,144,0,23,240
20,145,0,13,240
20,146,0,7,240
20,147,0,11,240
20,148,0,12,240
20,149,0,20,240
20,150,7,17,240
20,151,0,12,240
20,152,0,14,240
20,153,0,14,240
20,154,0,23,240
20,155,0,23,240
20,156,0,24,240
20,157,0,18,216
20,158,0,12,0
20,159,0,13,0
20,160,0,13,0
20,161,0,12,0
20,162,0,14,0
20,163,0,17,0
20,164,0,14,0
20,165,0,12,0
20,166,0,1,0
20,218,6,4,220
20,219,7,4,240
20,220,6,0,254
20,221,13,0,255
20,222,14,0,255
20,223,15,1,255
20,224,15,1,255
20,225,17,1,255
20,226,8,1,255
20,227,6,2,255
20,228,8,1,255
20,229,8,0,255
20,230,0,5,255
20,231,1,5,254
20,232,6,3,240
20,233,0,2,213
20,234,1,0,0
20,235,7,2,0
20,236,1,4,0
20,237,7,8,0
20,238,6,7,0
20,239,1,0,0
20,240,7,0,0
20,241,4,0,0
20,242,1,0,0
20,243,6,0,0
20,244,6,0,0
20,249,2,0,0
20,250,4,0,0
20,251,3,0,85
20,252,8,0,240
20,253,4,0,240
20,254,3,0,240
20,255,8,0,246
20,256,11,0,255
20,257,13,0,255
20,258,12,0,248
20,259,10,0,240
20,260,4,0,240
20,261,3,0,123
20,262,7,0,0
20,263,3,0,0
20,275,4,0,0
20,276,7,0,0
20,277,7,0,0
20,278,7,0,0
20,279,2,0,175
20,280,1,0,240
20,281,0,0,240
20,282,0,0,240
20,283,7,0,240
20,284,8,0,240
20,285,7,0,240
20,286,8,0,240
20,287,7,0,252
20,288,1,0,255
20,289,6,0,255
20,290,6,0,255
20,291,1,0,255
20,292,7,0,242
20,293,1,0,240
20,294,8,0,18
20,295,1,0,0
21,116,0,0,133
